Update Content,Update Type,View Count,Update Time
File.match? has an issue with paths,kind:bug,15353,"Jan 17, 2025"
<code>Enumerable#sum(&amp;)</code> fails with certain block arguments,topic:compiler:cli,15352,"Jan 17, 2025"
C lib constants and Enum members currently don't allow leading underscores,status:discussion,15342,"Jan 14, 2025"
"Please write on the ""Release"" downloadable files what operating systems they are ment for",topic:stdlib:networking,15338,"Jan 12, 2025"
Add parameter and return type restrictions to all stdlib public methods,kind:feature,15334,"Jan 9, 2025"
Implement RFC 0002: ExecutionContext [EPIC],topic:multithreading,15322,"Jan 6, 2025"
Codegen bug with duplicate ivar declaration and inheriting from generic instance type,tough-cookie,15321,"Jan 6, 2025"
"Unhelpful error message (<code>Error: unexpected token: ""(""</code>) when defining method that starts with a capital letter.",kind:bug,15320,"Jan 3, 2025"
Expose method to process HTTP requests on HTTP::Server,topic:compiler:codegen,15319,"Jan 3, 2025"
splatting into variadic C function yields a BUG,status:discussion,15317,"Jan 1, 2025"
Better handling of extra PCRE2 regex options,kind:bug,15316,"Dec 29, 2024"
LLVM version in <code>compiler --version</code> may be inaccurate,topic:compiler:semantic,15315,"Dec 26, 2024"
format the split to multi-line string error when starts with a #{...},kind:bug,15262,"Dec 10, 2024"
Formatting BigDecimal loses precision,topic:tools:formatter,15261,"Dec 10, 2024"
Proper handling of special characters in HTTP Cookies,kind:bug,15259,"Dec 9, 2024"
Module validation failed: inlinable function call in a function with debug info must have a !dbg location,topic:tools:formatter,15251,"Dec 6, 2024"
long-running fiber performance loss since 1.14.0,status:discussion,15242,"Dec 3, 2024"
[formatter] Index out of bounds (IndexError) When run formatter,topic:stdlib:networking,15237,"Nov 29, 2024"
Making <code>LLVM::ABI</code> a private API,breaking-change,15227,"Nov 25, 2024"
Replace <code>Iterator#slice</code> and <code>Iterator#each_slice</code> with <code>Iterator#in_slices_of</code>,status:discussion,15223,"Nov 24, 2024"
UNIXSocket.new should accept <code>Path</code> in addition to <code>String</code>,status:someday,15218,"Nov 23, 2024"
Handle 0X in String to integer conversions,topic:stdlib:collection,15214,"Nov 22, 2024"
Disallow type declarations for local variables in scopes where it's impossible to call them,kind:bug,15203,"Nov 18, 2024"
Bug: Formatter removes newline inside parentheses for generic type arguments,topic:tools:formatter,15202,"Nov 16, 2024"
Should ECR provide support for escaping rendered output?,platform:darwin,15130,"Oct 26, 2024"
<code>ThreadLocalValue</code> is not fiber-aware,topic:infrastructure/ci,15129,"Oct 25, 2024"
Better handling of Hash with default block but of the wrong type,kind:bug,15120,"Oct 23, 2024"
"Add a ""prefill"" method to IO::Buffered with read buffering",topic:stdlib:networking,15112,"Oct 21, 2024"
"Compilation error when using generic inheritance, class variable and union",kind:bug,15088,"Oct 16, 2024"
Formatting a call on an instance variable directly within short block syntax,topic:compiler:semantic,15085,"Oct 15, 2024"
Add OSSF Scorecard GH Action and badge to README,topic:lang:type-system,15078,"Oct 11, 2024"
Thread-safety for union types,kind:bug,15075,"Oct 11, 2024"
Linker on macOS prints excessive warnings in CI,topic:tools:formatter,15063,"Oct 7, 2024"
Buffered <code>Socket#close</code> may not return if TCP send buffer is full,kind:bug,15062,"Oct 4, 2024"
Allow method overloads for <code>enum</code> members,status:discussion,15057,"Oct 3, 2024"
Stack size of non-main threads on POSIX,topic:multithreading,15045,"Sep 27, 2024"
<code>bin\crystal run</code> wrapper does not terminate if interrupts are ignored,kind:bug,14985,"Sep 6, 2024"
Nil assertion failed (NilAssertionError),kind:bug,14984,"Sep 6, 2024"
Error: can't restrict Array(A | B) to Array(A | B),status:discussion,14983,"Sep 6, 2024"
Store annotations within the node they annotate,topic:infrastructure/ci,14967,"Sep 4, 2024"
Crystal compiler error: Element not found (Enumerable::NotFoundError),kind:bug,14960,"Sep 3, 2024"
Loading debug symbols is not thread-safe on Windows,topic:compiler:interpreter,14954,"Sep 1, 2024"
Truncated quotient and remainder,topic:lang:type-system,14952,"Aug 30, 2024"
Setting instance variable of file-private type in def parameter breaks with restriction augmenter,kind:bug,14948,"Aug 27, 2024"
Crystal Compiler error: Module validation failed: GEP base pointer is not a vector or a vector of pointers,platform:windows,14942,"Aug 24, 2024"
Inverse of <code>Int#digits</code>,topic:infrastructure,14939,"Aug 23, 2024"
Reduce CI usage,topic:stdlib:system,14935,"Aug 23, 2024"
<code>Object#crystal_type_id</code> returns different value for virtual type in interpreter,kind:feature,14913,"Aug 15, 2024"
A [no overflow check] compiler direective,kind:bug,14851,"Jul 30, 2024"
Proposal: <code>IO::DupReader</code>,topic:stdlib:concurrency,14850,"Jul 30, 2024"
Support  double splatting on NamedTuple union.,kind:bug,14839,"Jul 29, 2024"
<code>Digest</code> should be an <code>IO</code>,topic:stdlib:networking,14832,"Jul 25, 2024"
Third-party library repositories on Windows CI,kind:feature,14828,"Jul 22, 2024"
<code>WebSocket.on_close</code> never triggerred,status:discussion,14827,"Jul 22, 2024"
Fully qualified name must be used inside a block when assigning to an ivar.,topic:stdlib:system,14811,"Jul 14, 2024"
Iterate slice by reference (not by value),kind:bug,14802,"Jul 9, 2024"
[RFC] Allow setting timeouts on <code>HTTP::Server::Response</code>,kind:regression,14800,"Jul 8, 2024"
Option to launch processes as children,topic:compiler:interpreter,14799,"Jul 8, 2024"
LLVM 18 breaks 128-bit integers in the interpreter,topic:compiler:semantic,14793,"Jul 7, 2024"
<code>#resume</code> triggers invalid memory access on Mac,kind:feature,14792,"Jul 7, 2024"
Add <code>crystal tool method_types</code> for listing method parameter types,kind:feature,14741,"Jun 21, 2024"
Cache compiler results for tools,topic:stdlib:macros,14738,"Jun 21, 2024"
Crystal::Macros::Arg#restriction method always returns Nop,kind:feature,14731,"Jun 19, 2024"
Internal error when using <code>sizeof</code> as generic type argument in inferred ivar type,topic:stdlib,14727,"Jun 18, 2024"
<code>close_on_exec</code> on Windows,kind:bug,14717,"Jun 15, 2024"
UTF-8 support in Windows API,topic:compiler:semantic,14711,"Jun 14, 2024"
Nilable <code>Proc</code> types inside libs,kind:bug,14705,"Jun 12, 2024"
Allocation of non-zeroed memory for performance boost,topic:compiler:semantic,14696,"Jun 11, 2024"
Visit the Time.local in the macro.,platform:windows,14690,"Jun 11, 2024"
Include more types in <code>crystal tool hierarchy</code>,status:discussion,14689,"Jun 11, 2024"
Captured block parameter not recognised when used inside macro,topic:stdlib:system,14687,"Jun 10, 2024"
Customizing or hiding <code>Benchmark.ips</code>'s output format,kind:feature,14681,"Jun 10, 2024"
Duplicate ancestors in <code>ReferenceStorage</code>,status:discussion,14608,"May 22, 2024"
<code>Module validation failed</code> with proc in recursive def,topic:infrastructure,14605,"May 22, 2024"
Add methods for filling a buffer from an IO greedily/lazily,help wanted,14603,"May 21, 2024"
Loc pragma directly after <code>def</code> makes parser skip token,kind:feature,14597,"May 15, 2024"
Console streams are blocking on Windows,topic:stdlib:files,14596,"May 15, 2024"
The warning when building for FreeBSD and OpenBSD,kind:feature,14586,"May 12, 2024"
<code>Range</code> includes <code>Enumerable</code> but doesn't always implement it,topic:stdlib:text,14585,"May 10, 2024"
Crystal REPL instantly executes statement with intertwined heredoc,kind:bug,14582,"May 10, 2024"
Add API for <code>Base64.encode</code> / <code>Base64.decode</code> with an <code>IO</code> as the source,topic:compiler:interpreter:repl,14580,"May 9, 2024"
Redirecting standard streams feels more hackish/clumsy than it needs to be,kind:bug,14576,"May 8, 2024"
Enable <code>ameba</code> in this repo,topic:compiler:codegen,14564,"May 4, 2024"
crystal tool format doesn't work within nested macros,kind:bug,14551,"May 1, 2024"
Catching hard failures in prelude-less codegen specs,kind:bug,14467,"Apr 9, 2024"
"When monkeypatching with <code>previous_def</code> with namespaced types in the method signature, that namespace seems to be missed",topic:compiler,14464,"Apr 9, 2024"
Explicitly returning a lib struct or tuple inside a <code>fun</code> results in a codegen error,kind:bug,14460,"Apr 8, 2024"
invalid instruction when referencing overridden private interface types,topic:compiler:interpreter,14453,"Apr 7, 2024"
Abstract def overload with free var,topic:compiler:interpreter:repl,14451,"Apr 7, 2024"
Invalid memory access when dynamically extending type,status:discussion,14450,"Apr 7, 2024"
<code>previous_def</code> does not work with top-level funs,topic:stdlib:text,14446,"Apr 6, 2024"
Discrepancy in <code>String#rindex</code> for out-of-bound search offsets,kind:bug,14423,"Apr 2, 2024"
Can't use Atomic with Int128 or UInt128,topic:stdlib:concurrency,14422,"Apr 2, 2024"
Incorrect formatting of multi-line macro expression with comment as first line,kind:bug,14405,"Mar 27, 2024"
io/console,topic:compiler:semantic,14396,"Mar 26, 2024"
Semantics of <code>Process.exec</code> on Windows,kind:bug,14392,"Mar 22, 2024"
Actual nightly releases on Windows,kind:bug,14344,"Mar 5, 2024"
Interpreter hits Invalid memory access (after Error: BUG: no target defs),topic:compiler:interpreter:repl,14332,"Feb 28, 2024"
Another codegen error involving instance variables with <code>Iterator</code> type,platform:windows,14317,"Feb 23, 2024"
Spec: Time is not reported accurately,status:discussion,14312,"Feb 20, 2024"
Comparisons between integers and floats are inexact,topic:compiler:cli,14307,"Feb 19, 2024"
Crystal tool context/implementations with ECR,kind:bug,14303,"Feb 18, 2024"
"Implement new UUID versions (V6, V7, V8)",topic:compiler:codegen,14300,"Feb 16, 2024"
Using <code>lld-link</code> as a linker,topic:compiler:generics,14288,"Feb 7, 2024"
<code>LLVM::TargetData</code> cannot be disposed,kind:feature,14284,"Feb 4, 2024"
Linking against the debug MSVC runtime libraries,platform:windows,14281,"Feb 1, 2024"
<code>Math.pow</code> returns different results between <code>Int</code> and <code>Float</code> exponents,topic:stdlib:runtime,14280,"Jan 31, 2024"
Command prompt escaping in <code>Process.quote_windows</code>,kind:bug,14256,"Jan 26, 2024"
Has crystal ever considered adding dynamic require,kind:feature,14178,"Jan 7, 2024"
Confusing error when generic type variable is a union between base and derived type,status:discussion,14173,"Jan 6, 2024"
Strongly typed code generation specs,status:discussion,14154,"Jan 1, 2024"
Run spec suite in <code>macro finished</code> hook instead of <code>at_exit</code>,topic:stdlib:collection,14153,"Jan 1, 2024"
Making wrappers of C handle types more atomic,topic:stdlib:files,14151,"Dec 31, 2023"
<code>HashLiteral</code> and <code>NamedTupleLiteral</code> QoL,kind:bug,14121,"Dec 20, 2023"
Flatten buffer growth algorithms,topic:compiler:generics,14109,"Dec 18, 2023"
Uppercase instance or class variables,kind:feature,14107,"Dec 17, 2023"
Random memory corruption with generics and inheritance,topic:stdlib,14093,"Dec 14, 2023"
Interpreter: Cast from Crystal::TypeDefType to Crystal::PointerInstanceType failed,kind:bug,14091,"Dec 14, 2023"
Customizable Indentation in OptionParser Help Messages,topic:compiler:codegen,14090,"Dec 14, 2023"
Export Steppable::StepIterator's ivars as getters,topic:compiler:interpreter,14083,"Dec 13, 2023"
Flush file output on program exit,kind:bug,14037,"Dec 2, 2023"
ICE: <code>Double free or corruption (out)</code>,topic:compiler:codegen,14033,"Dec 1, 2023"
Annotation for <code>crystal tool unreachable</code> to ignore certain functions,kind:feature,14032,"Dec 1, 2023"
Make playground workbook recognize idiomatic code block tags in Markdown files,topic:lang,14030,"Nov 30, 2023"
Standards-compliant alternative to <code>OpenSSL::X509::Name.parse</code>,kind:bug,14028,"Nov 29, 2023"
<code>File.join</code> with a path kind,kind:feature,14023,"Nov 27, 2023"
Overlapping matches in <code>String#scan</code> and <code>#rindex</code>,topic:stdlib:text,14011,"Nov 22, 2023"
File#mkfifo is missing from the std lib.,status:discussion,14009,"Nov 22, 2023"
Non-raising <code>Char::Reader</code> API,topic:stdlib:specs,14002,"Nov 21, 2023"
Arithmetic Overflow with large range in macro,status:discussion,14000,"Nov 21, 2023"
Inconsistent use of <code>#inspect</code> in <code>expect_raises</code>,topic:tools:playground,13995,"Nov 18, 2023"
Querying a type's alignment,status:discussion,13993,"Nov 17, 2023"
Interpreter REPL unable to recalculate type throws inconclusive type errors,kind:bug,13913,"Oct 28, 2023"
"If the time information of <code>Compress::Zip::FileInfo</code> is empty, raise an exception.",topic:compiler:semantic,13903,"Oct 24, 2023"
<code>root</code> property of <code>JSON::Field</code> should support nested keys,status:discussion,13899,"Oct 22, 2023"
CLI: Warn but not fail on invalid arguments,topic:compiler:parser,13895,"Oct 17, 2023"
Cannot render infinity/nan using macros,kind:bug,13894,"Oct 17, 2023"
"""Module validation failed: GEP base pointer is not a vector or a vector of pointers""",topic:compiler:semantic,13892,"Oct 16, 2023"
File-private namespace type can be leaked through file-private def,kind:bug,13890,"Oct 15, 2023"
Constants are null pointers in WASM when methods are invoked directly,topic:compiler:semantic,13889,"Oct 14, 2023"
LF and CRLF incompatabilities in string/symbol/heredoc/char literals,good first issue,13888,"Oct 13, 2023"
shards install : crystal/shards not found ,help wanted,13885,"Oct 11, 2023"
Incorrect namespace lookup when resolving constant to compile-time number,kind:feature,13879,"Oct 10, 2023"
Using <code>crystal tool unreachable</code> creates a stack overflow,topic:stdlib:serialization,13873,"Oct 9, 2023"
<code>Log::AsyncDispatcher</code> causes <code>Channel::ClosedError</code> if message is logged in fiber that never executes before program exit,kind:feature,13800,"Sep 13, 2023"
Should Crystal have UDPServer?,topic:stdlib:numeric,13799,"Sep 12, 2023"
Add the ability to use out on Crystal methods and procs,kind:feature,13794,"Sep 10, 2023"
Interpreter: BUG: missing call receiver by value,kind:feature,13791,"Sep 9, 2023"
Top level return within begin/end scope for ivar assignment with abstract def masks type inference error,topic:stdlib:networking,13787,"Sep 4, 2023"
Escape HTML in doc generation,kind:bug,13766,"Aug 25, 2023"
Power of Complex Numbers,platform:android,13765,"Aug 25, 2023"
Computations in <code>begin..end</code> not evaluated for class/instance variables,topic:stdlib:networking,13763,"Aug 24, 2023"
Argument forwarding doesn't work when passing symbol to a enum type,kind:bug,13757,"Aug 18, 2023"
Add concurrent socket server,topic:compiler:semantic,13756,"Aug 18, 2023"
Include static assets in doc generator,kind:feature,13753,"Aug 17, 2023"
no internet access in Termux like golang,status:discussion,13752,"Aug 16, 2023"
Non-flag subfields of flag enums,performance,13692,"Jul 22, 2023"
Two classes of different types cannot be equal,status:discussion,13688,"Jul 21, 2023"
Update Int document for Int128/UInt128 support.,topic:stdlib:numeric,13687,"Jul 21, 2023"
Combined assignment issue with structs,kind:bug,13684,"Jul 20, 2023"
[RFC] Change inclusive/exclusive range operator,topic:compiler:codegen,13675,"Jul 18, 2023"
[RFC] Add <code>Array#intersects?</code> (or <code>Indexable#intersects?</code>),topic:compiler:generics,13671,"Jul 17, 2023"
Writing UTF-16 to an <code>IO::Memory</code> directly,kind:bug,13668,"Jul 15, 2023"
FR: Static Constructors for UDPSocket,kind:feature,13664,"Jul 14, 2023"
"Runtime crash with complex feature mixture (generics, interfaces, inheritance, structs)",topic:stdlib:collection,13648,"Jul 10, 2023"
Overflow in <code>Range</code>s with unsigned end value,breaking-change,13647,"Jul 10, 2023"
Integration tests for compiler CLI,kind:feature,13641,"Jul 8, 2023"
Performance differences using to_u128,status:discussion,13639,"Jul 6, 2023"
Symbol literals allow '\r' without following '\n',kind:docs,13585,"Jun 20, 2023"
Support multi-assignment  in if condition.,status:discussion,13584,"Jun 20, 2023"
Comments allow '\r' without following '\n',topic:stdlib:networking,13582,"Jun 20, 2023"
Backslash-Newline-Newline in String literals,kind:bug,13577,"Jun 19, 2023"
Case folding should be neither lowercase nor uppercase,topic:compiler:parser,13569,"Jun 15, 2023"
Improve documentation for the HTTP/FormData Page,kind:feature,13566,"Jun 15, 2023"
Support multi-assignment on select/when statement.,topic:stdlib,13545,"Jun 2, 2023"
"Feature Request | Not-nillable {property,getter}! with blocks",kind:feature,13544,"Jun 2, 2023"
"Confusing ""missing argument"" error when forwarding by double splat",topic:lang,13541,"Jun 2, 2023"
<code>Unicode::CaseOptions::ASCII</code> and <code>Turkic</code> are mutually exclusive,topic:stdlib:concurrency,13537,"May 31, 2023"
Getting just the top of the stack trace,kind:feature,13535,"May 31, 2023"
Type Subtraction,status:discussion,13534,"May 31, 2023"
Ensure AST nodes have correct locations,kind:bug,13474,"May 16, 2023"
Pseudo-method inconsistencies,topic:compiler:interpreter,13472,"May 15, 2023"
[Playground] You've reached a bug in the playground,status:discussion,13471,"May 15, 2023"
Compiler bug when yielding tuple with <code>NoReturn</code>,topic:lang,13470,"May 15, 2023"
Cannot yield to multiple <code>_</code> block parameters in interpreter,platform,13466,"May 13, 2023"
Constants with type declarations,status:discussion,13459,"May 12, 2023"
Default file create permissions,topic:stdlib:system,13455,"May 11, 2023"
Docs are wrong for Dir.mkdir and mkdir_p,kind:bug,13453,"May 10, 2023"
Permissions for deleting a file,topic:stdlib:numeric,13443,"May 7, 2023"
x86-64 Intel syntax support for <code>--emit=asm</code>,topic:tools:playground,13441,"May 5, 2023"
Reopening or sharing <code>LibC</code> types properly,kind:bug,13437,"May 5, 2023"
Wrong error message for enum members in methods,kind:docs,13432,"May 5, 2023"
"Add coprime?(a,b) or a.coprime?(b) method",status:discussion,13386,"Apr 24, 2023"
Performance regression in 1.8.0 vs 1.7.3,topic:compiler:parser,13382,"Apr 24, 2023"
Regex matching methods missing match options,topic:lang,13380,"Apr 23, 2023"
CacheDir.instance.cleanup kills in-use directory of other active processes,kind:feature,13379,"Apr 22, 2023"
Unset type ID in <code>Log::Metadata.new</code>,topic:stdlib:networking,13377,"Apr 21, 2023"
Anticipating the lack of standard streams in the standard library,kind:feature,13368,"Apr 20, 2023"
<code>Log::Metadata#extend</code> should append not prepend data (like e.g. <code>NamedTuple#merge</code>),topic:stdlib:numeric,13366,"Apr 20, 2023"
Inconsistency with <code>Array(T)#[]?(range : Range)</code> when range is beginless or starts with <code>0</code>.,kind:feature,13360,"Apr 20, 2023"
Require semicolon or newline before method body,kind:bug,13330,"Apr 17, 2023"
<code>expected argument to ... to be Type not Type</code> Error Message needs to be Changed as Special Case,topic:compiler:generics,13327,"Apr 16, 2023"
crystal build --cross-compile should generate a helpful target script,kind:bug,13323,"Apr 15, 2023"
<code>Socket::IPAddress</code> constructors,status:discussion,13316,"Apr 13, 2023"
Incorrect error location when member value overflows enum type,status:discussion,13239,"Mar 28, 2023"
Read-only attribute versus read permissions,topic:stdlib:networking,13236,"Mar 28, 2023"
Linker error leads to missing symbols on builds with lots of object files,platform,13233,"Mar 27, 2023"
crystal tool format on 'Range',status:discussion,13221,"Mar 24, 2023"
Revisit <code>require</code> lookup paths,topic:stdlib:files,13216,"Mar 23, 2023"
extra files option for crystal doc,kind:feature,13210,"Mar 21, 2023"
JSON::Serializable discriminator with default value,platform:windows,13209,"Mar 21, 2023"
BUG: missing interpret for Crystal::Splat,topic:stdlib:files,13202,"Mar 19, 2023"
Codegen bug: Call parameter type does not match function signature,kind:bug,13193,"Mar 16, 2023"
Websocket improvements,topic:compiler:semantic,13184,"Mar 12, 2023"
<code>previous_def</code> seems to lose information regarding a double-splat when used in a macro.,kind:feature,13183,"Mar 12, 2023"
Fine-grained file permissions on Windows,topic:stdlib:serialization,13176,"Mar 10, 2023"
HTTP::Server vs ApplicationServer,kind:feature,13111,"Feb 25, 2023"
Issue with <code>with ... yield</code> and class declaration in block (Compiler crash),kind:feature,13104,"Feb 22, 2023"
<code>UUID.[]</code> constructor,topic:stdlib:concurrency,13101,"Feb 21, 2023"
Block loses return value,kind:bug,13099,"Feb 20, 2023"
Add size and capacity methods to Channel class,topic:compiler:semantic,13094,"Feb 20, 2023"
Error: undefined constant Int::MIN when saying a method returns Number,kind:bug,13085,"Feb 17, 2023"
Disallowing expectation matches outside specs,topic:stdlib:numeric,13083,"Feb 16, 2023"
Obtaining the signature of a <code>Def</code>,kind:bug,13082,"Feb 16, 2023"
 <code>('A'..'Z') === nil</code> must return nil if it canâ€™t match the value instead of give a compilation error.,topic:stdlib:collection,13081,"Feb 16, 2023"
 Compiler error when assigning <code>nil</code> to instance var with a type. ,kind:bug,13078,"Feb 15, 2023"
Add a way to use the <code>of</code> keyword using non-Array collection types.,topic:compiler:semantic,13074,"Feb 14, 2023"
Helper macro for <code>NotImplementedError</code>,kind:feature,13072,"Feb 14, 2023"
JSON praser can't take an int128,status:discussion,12999,"Jan 24, 2023"
<code>#delete!</code> for collections,topic:stdlib:numeric,12991,"Jan 22, 2023"
Interpreter: Error: BUG: missing call receiver by value cast from (Loader | Nil) to Loader (Crystal::MixedUnionType to Crystal::NonGenericModuleType),kind:bug,12990,"Jan 22, 2023"
Arithmetic overflow when deserializing large JSON file,kind:bug,12980,"Jan 19, 2023"
Priority of unary <code>-</code> relative to <code>**</code>,topic:compiler:semantic,12971,"Jan 18, 2023"
<code>__crystal_once</code> mechanism doesn't reliably detect recursive constants,status:discussion,12970,"Jan 17, 2023"
Compiler confused about symbolic link in path to stdlib ,topic:stdlib:system,12969,"Jan 17, 2023"
Weird codegen error when assigning <code>Proc</code> instance variable of extern struct,status:discussion,12965,"Jan 16, 2023"
Calling <code>Process#wait</code> multiple times?,topic:tools:docs-generator,12953,"Jan 13, 2023"
Problem in design of with <code>docs</code> in crystal compiler,kind:bug,12949,"Jan 13, 2023"
Constants referring to itself cause SIGSEGV in Semantic (cvars initializers) phase,topic:compiler:codegen,12946,"Jan 12, 2023"
Improve the DX of the <code>has_constant?</code> macro method with namespaced types/constants,kind:bug,12944,"Jan 11, 2023"
